top - 10:59:01 up 12:44,  1 user,  load average: 0.74, 0.54, 0.33
Tasks: 356 total,   1 running, 338 sleeping,  17 stopped,   0 zombie
%Cpu(s):  8.8 us,  4.4 sy,  0.0 ni, 80.9 id,  2.9 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    229.3 free,   5648.0 used,   2001.9 buff/cache
MiB Swap:   2048.0 total,   1940.1 free,    107.9 used.   1675.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1385 gdm       20   0  235588   4712   4280 S   0.0   0.1   0:00.00 xdg-per+
   1391 geoclue   20   0  361268  18008  12832 S   0.0   0.2   0:00.27 geoclue
   1409 gdm       20   0 2733572  25524  20512 S   0.0   0.3   0:00.05 gjs
   1426 gdm       20   0  309648   6368   5772 S   0.0   0.1   0:00.00 gsd-a11+
   1427 gdm       20   0  578404  28360  18240 S   0.0   0.4   0:00.32 gsd-col+
   1428 gdm       20   0  345768  26936  17100 S   0.0   0.3   0:00.20 gsd-key+
   1429 gdm       20   0  688104  29240  18748 S   0.0   0.4   0:00.23 gsd-med+
   1431 gdm       20   0  420108  27356  17216 S   0.0   0.3   0:00.24 gsd-pow+
   1432 gdm       20   0  248204   9968   8556 S   0.0   0.1   0:00.01 gsd-pri+
   1434 gdm       20   0  457088   5996   5364 S   0.0   0.1   0:00.03 gsd-rfk+
   1435 gdm       20   0  315016   9892   8996 S   0.0   0.1   0:00.01 gsd-sma+
   1436 gdm       20   0  319236   8864   7864 S   0.0   0.1   0:00.00 gsd-sou+
   1437 gdm       20   0  384948   6948   6272 S   0.0   0.1   0:00.00 gsd-usb+
   1439 gdm       20   0  345260  26608  16652 S   0.0   0.3   0:00.20 gsd-wac+
   1441 gdm       20   0  313972   7960   7084 S   0.0   0.1   0:00.00 gsd-wwan
   1443 gdm       20   0  346516  27836  17372 S   0.0   0.3   0:00.21 gsd-xse+
   1444 gdm       20   0  162688   7012   6380 S   0.0   0.1   0:00.01 ibus-en+
   1495 gdm       20   0  342152  14332  12432 S   0.0   0.2   0:00.01 gsd-pri+
   1513 colord    20   0  246232  13976   8792 S   0.0   0.2   0:00.20 colord
   1545 root      20   0  314584   9908   8100 S   0.0   0.1   0:00.04 gdm-ses+
   1553 karthik   20   0   19392   9772   8100 S   0.0   0.1   0:00.91 systemd
   1554 karthik   20   0  169444   1536      0 S   0.0   0.0   0:00.00 (sd-pam)
   1560 karthik    9 -11 2908156  16012  13484 S   0.0   0.2   0:04.11 pulseau+
   1562 karthik   39  19  587564  22660  15740 S   0.0   0.3   0:02.76 tracker+
   1569 karthik   20   0  240284   7320   6540 S   0.0   0.1   0:00.58 gnome-k+
   1572 karthik   20   0    9040   5932   3736 S   0.0   0.1   0:01.70 dbus-da+
   1587 karthik   20   0  239696   7260   6712 S   0.0   0.1   0:00.11 gvfsd
   1592 karthik   20   0  378336   5672   5580 S   0.0   0.1   0:00.00 gvfsd-f+
   1594 karthik   20   0  314052   8760   7300 S   0.0   0.1   0:00.78 gvfs-ud+
   1604 karthik   20   0  236484   6752   6256 S   0.0   0.1   0:00.04 gvfs-go+
