              total        used        free      shared  buff/cache   available
Mem:           7879        5184         317         234        2377        2163
Swap:          2047          59        1988
top - 09:38:50 up 11:24,  1 user,  load average: 0.32, 0.41, 0.47
Tasks: 360 total,   1 running, 343 sleeping,  16 stopped,   0 zombie
%Cpu(s): 13.0 us,  4.3 sy,  0.0 ni, 79.7 id,  0.0 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    310.2 free,   5186.7 used,   2382.2 buff/cache
MiB Swap:   2048.0 total,   1988.9 free,     59.1 used.   2156.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1346 gdm       20   0 3804136 162312  82992 S   0.0   2.0   0:07.91 gnome-s+
   1357 gdm       20   0  310800   7988   6620 S   0.0   0.1   0:00.06 ibus-da+
   1360 gdm       20   0  162564   6976   6356 S   0.0   0.1   0:00.00 ibus-me+
   1363 gdm       20   0  197784  26856  17120 S   0.0   0.3   0:00.18 ibus-x11
   1368 gdm       20   0  236364   7244   6592 S   0.0   0.1   0:00.00 ibus-po+
   1372 gdm       20   0  162884   6432   5800 S   0.0   0.1   0:00.00 at-spi2+
   1381 gdm       20   0  156092   5388   4880 S   0.0   0.1   0:00.00 dconf-s+
   1385 gdm       20   0  235588   4736   4304 S   0.0   0.1   0:00.00 xdg-per+
   1391 geoclue   20   0  361268  18396  13164 S   0.0   0.2   0:00.26 geoclue
   1409 gdm       20   0 2733572  25792  20780 S   0.0   0.3   0:00.05 gjs
   1426 gdm       20   0  309648   6392   5796 S   0.0   0.1   0:00.00 gsd-a11+
   1427 gdm       20   0  578404  28840  18720 S   0.0   0.4   0:00.29 gsd-col+
   1428 gdm       20   0  345768  27356  17520 S   0.0   0.3   0:00.20 gsd-key+
   1429 gdm       20   0  688104  29760  19268 S   0.0   0.4   0:00.23 gsd-med+
   1431 gdm       20   0  420108  27856  17716 S   0.0   0.3   0:00.23 gsd-pow+
   1432 gdm       20   0  248204  10008   8596 S   0.0   0.1   0:00.01 gsd-pri+
   1434 gdm       20   0  457088   6016   5384 S   0.0   0.1   0:00.03 gsd-rfk+
   1435 gdm       20   0  315016   9912   9016 S   0.0   0.1   0:00.01 gsd-sma+
   1436 gdm       20   0  319236   8884   7884 S   0.0   0.1   0:00.00 gsd-sou+
   1437 gdm       20   0  384948   6968   6292 S   0.0   0.1   0:00.00 gsd-usb+
   1439 gdm       20   0  345260  26984  17028 S   0.0   0.3   0:00.20 gsd-wac+
   1441 gdm       20   0  313972   8084   7208 S   0.0   0.1   0:00.00 gsd-wwan
   1443 gdm       20   0  346516  28244  17780 S   0.0   0.4   0:00.21 gsd-xse+
   1444 gdm       20   0  162688   7032   6400 S   0.0   0.1   0:00.01 ibus-en+
   1495 gdm       20   0  342152  14356  12456 S   0.0   0.2   0:00.01 gsd-pri+
   1513 colord    20   0  246232  14092   8868 S   0.0   0.2   0:00.20 colord
   1545 root      20   0  314584   9932   8124 S   0.0   0.1   0:00.04 gdm-ses+
   1553 karthik   20   0   19392   9776   8100 S   0.0   0.1   0:00.87 systemd
   1554 karthik   20   0  169444   2060      0 S   0.0   0.0   0:00.00 (sd-pam)
   1560 karthik    9 -11 2646012  17784  15188 S   0.0   0.2   0:04.00 pulseau+
   1562 karthik   39  19  587564  23328  16128 S   0.0   0.3   0:02.76 tracker+
   1569 karthik   20   0  240284   7396   6804 S   0.0   0.1   0:00.48 gnome-k+
   1572 karthik   20   0    9040   5936   3740 S   0.0   0.1   0:01.46 dbus-da+
   1587 karthik   20   0  239696   7372   6824 S   0.0   0.1   0:00.09 gvfsd
   1592 karthik   20   0  378336   5792   5700 S   0.0   0.1   0:00.00 gvfsd-f+
   1594 karthik   20   0  314052   8880   7420 S   0.0   0.1   0:00.61 gvfs-ud+
   1604 karthik   20   0  236484   6912   6416 S   0.0   0.1   0:00.03 gvfs-go+
   1608 karthik   20   0  692452  62376  34552 S   0.0   0.8   0:02.95 goa-dae+
   1615 karthik   20   0  314616   7536   7284 S   0.0   0.1   0:00.37 goa-ide+
   1620 karthik   20   0  163996   6320   5780 S   0.0   0.1   0:00.00 gdm-x-s+
   1626 karthik   20   0  235688   5472   5084 S   0.0   0.1   0:00.03 gvfs-mt+
   1630 karthik   20   0  316720   8252   7844 S   0.0   0.1   0:00.45 gvfs-af+
   1635 karthik   20   0  238092   5812   5508 S   0.0   0.1   0:00.03 gvfs-gp+
   1688 karthik   20   0  188380  13860  12256 S   0.0   0.2   0:00.06 gnome-s+
   1692 karthik   20   0  239888   6900   6788 S   0.0   0.1   0:00.00 gnome-k+
   1703 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1779 karthik   20   0    6032    456      0 S   0.0   0.0   0:00.04 ssh-age+
   1796 karthik   20   0  311584   7876   5752 S   0.0   0.1   0:32.20 ibus-da+
   1798 karthik   20   0  305420   6212   6024 S   0.0   0.1   0:00.01 at-spi-+
   1805 karthik   20   0    7348   3896   3648 S   0.0   0.0   0:00.40 dbus-da+
   1807 karthik   20   0  162692   7112   6480 S   0.0   0.1   0:00.00 ibus-me+
   1808 karthik   20   0  311884  37708  27932 S   0.0   0.5   0:00.49 ibus-ui+
   1812 karthik   20   0  272364  28272  17276 S   0.0   0.4   0:06.40 ibus-ex+
   1817 karthik   20   0   90040   3872   3872 S   0.0   0.0   0:00.00 gnome-s+
   1824 karthik   20   0  193100  23572  17580 S   0.0   0.3   0:00.27 ibus-x11
